Question,Question,Answer
1,What is the title of the debut studio album by Nirvana released in 1989?,"""Bleach"""
2,What is the capital city of Italy?,Rome
3,"Who played the character Bella Swan in the ""Twilight"" film series?",Kristen Stewart
4,What is a name of a popular survival horror game developed by Capcom?,Resident Evil
5,Which country successfully landed its rover Zhurong on Mars in 2021?,China
6,"Which Canadian city is often referred to as the ""Cultural Capital of Canada""?",Montreal
7,"In which sport is the term ""hat-trick"" commonly used?",Soccer
8,What is the chemical formula for water?,H2O
9,Who won the 2021 Academy Award for Best Picture?,"""Nomadland"""
10,What is the popular Mexican beverage made from the juice of the Agave plant?,Tequila
11,What is the national symbol of Canada's indigenous peoples?,Inuksuk
12,Who invented the sewing machine?,Elias Howe
13,"In which sport is the term ""strikeout"" commonly used?",Baseball
14,Which U.S. state is home to the Rocky Mountains?,Colorado
15,What is the smallest species of bird?,Bee Hummingbird
16,Who invented the computer mouse?,Douglas Engelbart
17,In what movie does a group of toys come to life when humans are not around?,Toy Story
18,What is the name of the main character in the game Assassin's Creed?,Altaïr Ibn-La'Ahad
19,"Which singer released the album ""1989"" in 2014?",Taylor Swift
20,"What is the title of the first book in the ""A Song of Ice and Fire"" series by George R.R. Martin?",A Game of Thrones
21,Who is the lead vocalist of the band The Who?,Roger Daltrey
22,"Which actor portrayed the character Jack Dawson in the film ""Titanic""?",Leonardo DiCaprio
23,Which TV show is about a fictional advertising agency set in the 1960s?,Mad Men
24,What is the green vegetable often used in salads and sandwiches?,Lettuce
25,"Who says, ""I can accept failure, everyone fails at something. But I can't accept not trying""?",Michael Jordan
26,What is the result of 4 ÷ 2(2 + 1)?,1
27,What is the largest species of crab?,Japanese Spider Crab
28,What is the name of the iconic puzzle game that involves colored blocks?,Tetris
29,Which animal is known for its black and white striped coat?,Zebra
30,"Which TV show features the line ""I'm not a regular mom, I'm a cool mom""?",Mean Girls
31,"What is the popular Mexican dish consisting of a tortilla filled with meat, beans, and cheese?",Burrito
32,"Who directed the film ""The Shawshank Redemption""?",Frank Darabont
33,Which animal is known for its ability to roll into a ball for protection?,Armadillo
34,"Which American rapper is known for hits like ""Stronger"" and ""Gold Digger""?",Kanye West
35,Which country is known for inventing pizza?,Italy
36,In what movie does a boy befriend a friendly alien and help him return home?,E.T. the Extra-Terrestrial
37,Who is the lead vocalist of the band Radiohead?,Thom Yorke
38,What is the study of the behavior and properties of matter at extremely low temperatures?,Cryogenics
39,What is the name of the popular first-person shooter game developed by Valve?,Counter-Strike
40,Which movie features a young girl who gets transported to a magical land of witches?,The Wizard of Oz
41,"What is the name of the American singer-songwriter who released the album ""Born This Way""?",Lady Gaga
42,"Which comedian created the TV series ""Family Guy""?",Seth MacFarlane
43,Who is the creator of the theory of gravity?,Isaac Newton
44,What is the capital city of South Africa?,Pretoria
45,Who wrote the national anthem of the United States?,Francis Scott Key
46,In what TV show does a high school chemistry teacher become a zombie and work as a medical examiner?,iZombie
47,Which actor portrayed Wolverine in the X-Men film series?,Hugh Jackman
48,What is the Mexican dish consisting of a tortilla filled with cheese and grilled?,Quesadilla
49,"What is the spicy Korean noodle dish made with thick, chewy noodles and a fiery red sauce?",Jjajangmyeon
50,"What is the classic French sauce made from egg yolks, butter, and lemon juice?",Hollandaise
51,"Who is the lead guitarist of the rock band ""Led Zeppelin""?",Jimmy Page
52,What movie follows the life of a mentally disabled man and his extraordinary achievements?,Forrest Gump
53,What is the title of Michael Jackson's seventh studio album?,"""Bad"""
54,What is the national tree of the United States?,Oak
55,What is the title of the debut studio album by Billie Eilish released in 2019?,"""When We All Fall Asleep, Where Do We Go?"""
56,Who invented the light bulb with a carbon filament?,Lewis Howard Latimer
57,Which spice is made from the dried stigma of a crocus flower?,Saffron
58,What was the name of the mission launched by NASA to Mars in 2020?,Mars Perseverance Rover
59,"Who played the character Captain Jack Sparrow in the ""Pirates of the Caribbean"" films?",Johnny Depp
60,What is the classic Italian pasta dish with a creamy sauce made from Parmesan cheese and butter?,Fettuccine Alfredo
61,"What is the name of the American singer-songwriter who released the album ""Fearless""?",Taylor Swift
62,"What is the famous opening line of Charles Dickens' novel ""A Tale of Two Cities""?","""It was the best of times, it was the worst of times."""
63,What is the largest province in Canada by population?,Ontario
64,What is the title of the debut studio album by Adele released in 2008?,"""19"""
65,What is the popular French cheese made from cow's milk?,Camembert
66,Which country is known for the Petra archaeological site?,Jordan
67,What is the largest species of shark?,Great White Shark
68,Who is the lead guitarist of the band Nirvana?,Kurt Cobain
69,"Which city is known as the ""Windy City""?",Chicago
70,What is the chemical symbol for carbon?,"C, Carbon"
71,In what movie does a man with short-term memory loss try to find his wife's killer?,Memento
72,What is the branch of biology that studies the interactions between organisms and their environment?,Ecology
73,What is the objective of the game Pac-Man?,Eat all the dots and avoid the ghosts
74,What is the study of the Earth's physical structure and composition called?,Geology
75,How many players are there in a basketball team?,5
76,What is the traditional Japanese rice wine?,Sake
77,"What is the first book in the ""Chronicles of Narnia"" series by C.S. Lewis?","The Lion, the Witch and the Wardrobe"
78,Which movie is about a group of magicians who perform elaborate heists during their shows?,Now You See Me
79,"What is the traditional Middle Eastern dip made from mashed chickpeas, tahini, lemon juice, and garlic?",Hummus
80,What is the national animal of South Africa?,Springbok
81,What is the largest species of lizard?,Komodo Dragon
82,How many sides does a hexagon have?,6
83,What is the Japanese green tea also referred as?,Matcha
84,What is the process of removing caffeine from coffee beans called?,Decaffeination
85,"Who said, ""The only thing standing between you and your goal is the story you keep telling yourself""?",Jordan Belfort
86,What is the tallest mountain in the world?,Mount Everest
87,Who is the current Chancellor of Germany?,Angela Merkel
88,Which nut is commonly used in pesto sauce?,Pine nuts
89,"Which artist released the hit song ""Bad Guy"" in 2019?",Billie Eilish
90,What is the largest species of octopus?,Giant Pacific Octopus
91,What is the type of bread made from whole wheat flour and often used in sandwiches?,Whole wheat bread
92,"Who said, ""The greatest glory in living lies not in never falling, but in rising every time we fall.""",Nelson Mandela
93,"Who says, ""The secret of getting ahead is getting started""?",Mark Twain
94,What is the branch of science that deals with the study of diseases?,Pathology
95,Which actress played the character Rey in the recent Star Wars trilogy?,Daisy Ridley
96,"What is the traditional Middle Eastern salad made with bulgur, tomatoes, and herbs?",Tabouleh
97,Which company became the first publicly traded trillion-dollar company?,Apple Inc.
98,"Who said, ""Float like a butterfly, sting like a bee""?",Muhammad Ali
99,What is the traditional French pastry made from puff pastry and filled with cream or fruit?,Mille-Feuille (Napoleon)
100,How many planets in our solar system have rings?,4
101,"Which American singer is known for the hit single ""Just the Way You Are""?",Bruno Mars
102,In which country did the sport of archery originate?,Japan
103,Calculate 2 + 2 x 2,6
104,Which movie is about a young girl who enters a magical world through a wardrobe?,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"
105,"Who says, ""I'm not a businessman. I'm a business, man""?",Jay-Z
106,Who is the creator of the theory of evolution by natural selection?,Charles Darwin
107,What is the heaviest species of bony fish?,Ocean Sunfish
108,"Which planet is known as the ""Red Planet""?",Mars
109,What is the traditional Indian bread made from wheat flour and cooked in a tandoor oven?,Naan
110,What is the chemical symbol for oxygen?,"O, Oxygen"
111,In which game can players create and manage their own virtual city?,SimCity
112,Which country is known for the Eiffel Tower?,France
113,What is the unit of electric current?,Ampere
114,What is the title of the debut single by Justin Bieber released in 2009?,"""One Time"""
115,"Who said, ""It is during our darkest moments that we must focus to see the light.""",Aristotle Onassis
116,"Who says, ""I have not failed. I've just found 10,000 ways that won't work""?",Thomas Edison
117,What is the process of converting sunlight into electrical energy called?,Photovoltaics
118,What is the Indian dish made with lentils and spices?,Dal
119,Which sport is associated with Wimbledon?,Tennis
120,"Who said, ""Happiness is not something ready-made. It comes from your own actions""?",Dalai Lama
121,Who is the lead singer of the band Aerosmith?,Steven Tyler
122,What is the official ball used in professional golf?,Titleist Pro V1
123,Which animal is known for its ability to regrow its limbs?,Starfish
124,What is the main function of the lungs?,Respiration
125,Which province is known for its stunning Rocky Mountains?,Alberta
126,In what movie does a man find a magical remote control that allows him to control time?,Click
127,"Which singer is known as the ""Queen of Pop""?",Madonna
128,"Which TV show features the line ""Winter is coming""?",Game of Thrones
129,"Which city is known as the ""Eternal City""?",Rome
130,Who invented the first practical telephone?,Antonio Meucci
131,What is the largest species of butterfly?,Atlas Moth
132,Which U.S. city is famous for its music scene and the Country Music Hall of Fame?,Nashville
133,Which sport uses a 20-pound metal ball?,Shot put
134,What is the result of 2 + 3 x 4?,14
135,What is the bone that forms the upper arm?,Humerus
136,What is the currency of Brazil?,Brazilian real
137,What is the result of 1 + 1?,2
138,Which country withdrew from the European Union in 2020?,United Kingdom
139,Which country launched the Mars Perseverance rover in 2020?,United States
140,Which U.S. city is famous for its jazz music and Mardi Gras celebrations?,New Orleans
141,What is the name of the popular battle royale game developed by Epic Games?,Fortnite
142,What is the branch of science that deals with the study of the universe?,Astronomy
143,"Who said, ""The best way to predict the future is to create it""?",Peter Drucker
144,Who is the lead vocalist of the band Metallica?,James Hetfield
145,Who won the 2020 Grammy Award for Album of the Year?,Billie Eilish
146,"Who said, ""The only true wisdom is in knowing you know nothing""?",Socrates
147,"What is the Italian rice dish cooked in broth with various ingredients, like peas or mushrooms?",Risotto
148,Who is the lead guitarist of the rock band AC/DC?,Angus Young
149,Who is the lead vocalist of the band Maroon 5?,Adam Levine
150,What is the fundamental particle that carries a positive charge?,Proton
151,What is the national mammal of the United States?,American Bison
152,"Which singer is known for hits like ""Rolling in the Deep"" and ""Hello""?",Adele
153,Which bird is the fastest animal on Earth?,Peregrine Falcon
154,Who is credited with the discovery of penicillin?,Alexander Fleming
155,How many days are there in a leap year?,366
156,Which animal is the largest land mammal?,African Elephant
157,In which sport are competitors judged on their artistic impression?,Figure skating
158,What is the unit of pressure?,Pascal
159,How many bones are there in the human body?,206
160,Which country is known for the Statue of Liberty?,United States
161,What movie is about a lawyer who defends a man accused of murder in a racially charged trial?,To Kill a Mockingbird
162,Which film won the Best Picture Oscar in 2020?,Parasite
163,Which bird is famous for its migration across continents?,Swallow
164,Which country has won the most Rugby World Cups?,New Zealand
165,What is the most-watched sporting event in the world?,FIFA World Cup
166,What is the result of 5 x 3 - 2 + 1?,14
167,"Who says, ""The greatest pleasure in life is doing what people say you cannot do""?",Walter Bagehot
168,"Who wrote the play ""Hamlet""?",William Shakespeare
169,Who is the lead singer of the band U2?,Bono
170,"Who said, ""Success is not final, failure is not fatal: It is the courage to continue that counts""?",Winston Churchill
171,"Who said, ""Life is 10% what happens to us and 90% how we react to it.""",Charles R. Swindoll
172,What is the smallest unit of the nervous system?,Neuron
173,Which book tells the story of a young orphan named Pip?,Great Expectations
174,Which animal is known for its distinctive black and white markings?,Panda or Zebra
175,"What is the name of the pigment responsible for the color of the skin, hair, and eyes?",Melanin
176,Which Canadian province is known for its beautiful coastal scenery along the Pacific Ocean?,British Columbia
177,What is the traditional base of a Greek salad?,Feta cheese
178,What movie is about a boy who becomes a superhero after being bitten by a radioactive spider?,Spider-Man
179,"Which band is known for the song ""Hotel California""?",Eagles
180,What is the process by which food is broken down in the stomach?,Digestion
181,Which animal is known for its ability to regrow its teeth continuously?,Shark
